movie_id,title,genres,crew,actor_1,actor_2,actor_3,tags
1452,superman returns,"Adventure, Fantasy, Action, ScienceFiction",BryanSinger,BrandonRouth,KevinSpacey,KateBosworth,"Superman return to discover his 5-year absence ha allowed Lex Luthor to walk free, and that those he wa closest too felt abandoned and have moved on. Luthor plot his ultimate revenge that could see million killed and change the face of the planet forever, a well a ridding himself of the Man of Steel. Adventure Fantasy Action ScienceFiction savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpower superhumanstrength lexluthor BrandonRouth KevinSpacey KateBosworth BryanSinger"
10764,quantum of solace,"Adventure, Action, Thriller, Crime",MarcForster,DanielCraig,OlgaKurylenko,MathieuAmalric,"Quantum of Solace continues the adventure of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fight the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined. Adventure Action Thriller Crime killing undercover secretagent britishsecretservice DanielCraig OlgaKurylenko MathieuAmalric MarcForster"
58,pirates of the caribbean: dead man's chest,"Adventure, Fantasy, Action",GoreVerbinski,JohnnyDepp,OrlandoBloom,KeiraKnightley,"Captain Jack Sparrow work his way out of a blood debt with the ghostly Davey Jones, he also attempt to avoid eternal damnation. Adventure Fantasy Action witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger JohnnyDepp OrlandoBloom KeiraKnightley GoreVerbinski"
57201,the lone ranger,"Action, Adventure, Western",GoreVerbinski,JohnnyDepp,ArmieHammer,WilliamFichtner,"The Texas Rangers chase down a gang of outlaw led by Butch Cavendish, but the gang ambush the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurse him back to health. The Ranger, donning a mask and riding a white stallion named Silver, team up with Tonto to bring the unscrupulous gang and others of that ilk to justice. Action Adventure Western texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto JohnnyDepp ArmieHammer WilliamFichtner GoreVerbinski"
49521,man of steel,"Action, Adventure, Fantasy, ScienceFiction",ZackSnyder,HenryCavill,AmyAdams,MichaelShannon,"A young boy learns that he ha extraordinary power and is not of this earth. As a young man, he journey to discover where he came from and what he wa sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. Action Adventure Fantasy ScienceFiction savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpower dcextendeduniverse HenryCavill AmyAdams MichaelShannon ZackSnyder"
2454,the chronicles of narnia: prince caspian,"Adventure, Family, Fantasy",AndrewAdamson,BenBarnes,WilliamMoseley,AnnaPopplewell,"One year after their incredible adventure in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life ha been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to it rightful heir. Adventure Family Fantasy basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld BenBarnes WilliamMoseley AnnaPopplewell AndrewAdamson"
24428,the avengers,"ScienceFiction, Action, Adventure",JossWhedon,RobertDowneyJr.,ChrisEvans,MarkRuffalo,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known a S.H.I.E.L.D., find himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins! ScienceFiction Action Adventure newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse RobertDowneyJr. ChrisEvans MarkRuffalo JossWhedon"
1865,pirates of the caribbean: on stranger tides,"Adventure, Action, Fantasy",RobMarshall,JohnnyDepp,PenélopeCruz,IanMcShane,"Captain Jack Sparrow cross path with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she force him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack find himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past. Adventure Action Fantasy sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d JohnnyDepp PenélopeCruz IanMcShane RobMarshall"
41154,men in black 3,"Action, Comedy, ScienceFiction",BarrySonnenfeld,WillSmith,TommyLeeJones,JoshBrolin,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J ha seen some inexplicable thing in his 15 year with the Men in Black, but nothing, not even aliens, perplexes him a much a his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put thing right. J discovers that there are secret to the universe that K never told him - secret that will reveal themselves a he team up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind. Action Comedy ScienceFiction timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory WillSmith TommyLeeJones JoshBrolin BarrySonnenfeld"
122917,the hobbit: the battle of the five armies,"Action, Adventure, Fantasy",PeterJackson,MartinFreeman,IanMcKellen,RichardArmitage,"Immediately after the event of The Desolation of Smaug, Bilbo and the dwarf try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elf of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elf and men must unite, and the hope for Middle-Earth fall into Bilbo's hands. Action Adventure Fantasy corruption elf dwarf orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery MartinFreeman IanMcKellen RichardArmitage PeterJackson"
1930,the amazing spider-man,"Action, Adventure, Fantasy",MarcWebb,AndrewGarfield,EmmaStone,RhysIfans,"Peter Parker is an outcast high schooler abandoned by his parent a a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begin a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choice to use his power and shape his destiny to become a hero. Action Adventure Fantasy lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpower geneticengineering socialoutcast duringcreditsstinger AndrewGarfield EmmaStone RhysIfans MarcWebb"
20662,robin hood,"Action, Adventure",RidleyScott,RussellCrowe,CateBlanchett,MaxvonSydow,"When soldier Robin happens upon the dying Robert of Loxley, he promise to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romance his widow, Marion; and draw the ire of the town's sheriff and King John's henchman, Godfrey. Action Adventure robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland RussellCrowe CateBlanchett MaxvonSydow RidleyScott"
57158,the hobbit: the desolation of smaug,"Adventure, Fantasy",PeterJackson,MartinFreeman,IanMcKellen,RichardArmitage,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo ha gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug. Adventure Fantasy elf dwarf orcs hobbit dragon wizard swordandsorcery MartinFreeman IanMcKellen RichardArmitage PeterJackson"
2268,the golden compass,"Adventure, Fantasy",ChrisWeitz,DakotaBlueRichards,NicoleKidman,DanielCraig,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trade her carefree existence roaming the hall of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny. Adventure Fantasy england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel DakotaBlueRichards NicoleKidman DanielCraig ChrisWeitz"
254,king kong,"Adventure, Drama, Action",PeterJackson,NaomiWatts,JackBlack,AdrienBrody,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady. Adventure Drama Action filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur NaomiWatts JackBlack AdrienBrody PeterJackson"
597,titanic,"Drama, Romance, Thriller",JamesCameron,KateWinslet,LeonardoDiCaprio,FrancesFisher,"84 year later, a 101-year-old woman named Rose DeWitt Bukater tell the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose board the departing ship with the upper-class passenger and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class ticket to the ship in a game. And she explains the whole story from departure until the death of Titanic on it first and last voyage April 15th, 1912 at 2:20 in the morning. Drama Romance Thriller shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s KateWinslet LeonardoDiCaprio FrancesFisher JamesCameron"
271110,captain america: civil war,"Adventure, Action, ScienceFiction",AnthonyRusso JoeRusso,ChrisEvans,RobertDowneyJr.,ScarlettJohansson,"Following the event of Age of Ultron, the collective government of the world pas an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two faction to side with Iron Man or Captain America, which cause an epic battle between former allies. Adventure Action ScienceFiction civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d ChrisEvans RobertDowneyJr. ScarlettJohansson AnthonyRusso JoeRusso"
44833,battleship,"Thriller, Action, Adventure, ScienceFiction",PeterBerg,TaylorKitsch,AlexanderSkarsgård,Rihanna,"When mankind beam a radio signal into space, a reply come from ‘Planet G’, in the form of several alien craft that splash down in the water off Hawaii. Lieutenant Alex Hopper is a weapon officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival a they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him. Thriller Action Adventure ScienceFiction fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri TaylorKitsch AlexanderSkarsgård Rihanna PeterBerg"
135397,jurassic world,"Action, Adventure, ScienceFiction, Thriller",ColinTrevorrow,ChrisPratt,BryceDallasHoward,IrrfanKhan,"Twenty-two year after the event of Jurassic Park, Isla Nublar now feature a fully functioning dinosaur theme park, Jurassic World, a originally envisioned by John Hammond. Action Adventure ScienceFiction Thriller monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror ChrisPratt BryceDallasHoward IrrfanKhan ColinTrevorrow"
37724,skyfall,"Action, Adventure, Thriller",SamMendes,DanielCraig,JudiDench,JavierBardem,"When Bond's latest assignment go gravely wrong and agent around the world are exposed, MI6 is attacked forcing M to relocate the agency. These event cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 take to the shadow - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motif have yet to reveal themselves. Action Adventure Thriller spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao DanielCraig JudiDench JavierBardem SamMendes"
558,spider-man 2,"Action, Adventure, Fantasy",SamRaimi,TobeyMaguire,KirstenDunst,JamesFranco,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaf the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feeling for Mary Jane Watson, a girl he's loved since childhood. Action Adventure Fantasy dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain TobeyMaguire KirstenDunst JamesFranco SamRaimi"
68721,iron man 3,"Action, Adventure, ScienceFiction",ShaneBlack,RobertDowneyJr.,GwynethPaltrow,DonCheadle,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he start an odyssey of rebuilding and retribution. Action Adventure ScienceFiction terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremis RobertDowneyJr. GwynethPaltrow DonCheadle ShaneBlack"
12155,alice in wonderland,"Family, Fantasy, Adventure",TimBurton,MiaWasikowska,JohnnyDepp,AnneHathaway,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escape the crowd to consider whether to go through with the marriage and fall down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she find herself in a world that resembles the nightmare she had a a child, filled with talking animals, villainous queen and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne. Family Fantasy Adventure basedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3d MiaWasikowska JohnnyDepp AnneHathaway TimBurton"
36668,x-men: the last stand,"Adventure, Action, ScienceFiction, Thriller",BrettRatner,HughJackman,HalleBerry,IanMcKellen,"When a cure is found to treat mutations, line are drawn amongst the X-Men and The Brotherhood, a band of powerful mutant organized under Xavier's former ally, Magneto. Adventure Action ScienceFiction Thriller mutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstinger HughJackman HalleBerry IanMcKellen BrettRatner"
62211,monsters university,"Animation, Family",DanScanlon,BillyCrystal,JohnGoodman,SteveBuscemi,A look at the relationship between Mike and Sulley during their day at Monsters University — when they weren't necessarily the best of friends. Animation Family monster dormitory game animation bestfriend university scary aftercreditsstinger BillyCrystal JohnGoodman SteveBuscemi DanScanlon
8373,transformers: revenge of the fallen,"ScienceFiction, Action, Adventure",MichaelBay,ShiaLaBeouf,MeganFox,JoshDuhamel,"Sam Witwicky leaf the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war. ScienceFiction Action Adventure egypt sun chaos symbol artifact transformer tank robot imax duringcreditsstinger ShiaLaBeouf MeganFox JoshDuhamel MichaelBay"
91314,transformers: age of extinction,"ScienceFiction, Action, Adventure",MichaelBay,MarkWahlberg,StanleyTucci,KelseyGrammer,"As humanity pick up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientist attempt to learn from past Transformer incursion and push the boundary of technology beyond what they can control - all while an ancient, powerful Transformer menace set Earth in his cross-hairs. ScienceFiction Action Adventure sequel alien transformer giantrobot robot imax transformingrobot MarkWahlberg StanleyTucci KelseyGrammer MichaelBay"
68728,oz: the great and powerful,"Fantasy, Adventure, Family",SamRaimi,JamesFranco,MilaKunis,RachelWeisz,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitant assume he's the great wizard of prophecy, there to save Oz from the clutch of evil. Fantasy Adventure Family circus witch magic hope illusion lost magictrick wizard 3d JamesFranco MilaKunis RachelWeisz SamRaimi"
102382,the amazing spider-man 2,"Action, Adventure, Fantasy",MarcWebb,AndrewGarfield,EmmaStone,JamieFoxx,"For Peter Parker, life is busy. Between taking out the bad guy a Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter ha not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clue about his past. Action Adventure Fantasy obsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpower AndrewGarfield EmmaStone JamieFoxx MarcWebb"
20526,tron: legacy,"Adventure, Action, ScienceFiction",JosephKosinski,GarrettHedlund,JeffBridges,OliviaWilde,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quest to stop evil dictator Clu from crossing into the real world. Adventure Action ScienceFiction artificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracy GarrettHedlund JeffBridges OliviaWilde JosephKosinski"
49013,cars 2,"Animation, Family, Adventure, Comedy",JohnLasseter BradLewis,OwenWilson,LarrytheCableGuy,MichaelCaine,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky a Mater get caught up in an intriguing adventure of his own: international espionage. Animation Family Adventure Comedy carrace sequel comedy anthropomorphism bestfriend duringcreditsstinger OwenWilson LarrytheCableGuy MichaelCaine JohnLasseter BradLewis
44912,green lantern,"Adventure, Action, Thriller, ScienceFiction",MartinCampbell,RyanReynolds,BlakeLively,PeterSarsgaard,"For centuries, a small but powerful force of warrior called the Green Lantern Corps ha sworn to keep intergalactic order. Each Green Lantern wear a ring that grant him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hand of the first human ever recruited. Adventure Action Thriller ScienceFiction dccomics transformation superhero alien alieninfection magicalobject protector superpower origin 3d RyanReynolds BlakeLively PeterSarsgaard MartinCampbell"
10193,toy story 3,"Animation, Family, Comedy",LeeUnkrich,TomHanks,TimAllen,NedBeatty,"Woody, Buzz, and the rest of Andy's toy haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toy must band together to escape and return home to Andy. Animation Family Comedy hostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystory TomHanks TimAllen NedBeatty LeeUnkrich"
534,terminator salvation,"Action, ScienceFiction, Thriller",McG,ChristianBale,SamWorthington,AntonYelchin,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of human against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission a Connor try to determine whether Wright ha come from the future or the past -- and whether he's friend or foe. Action ScienceFiction Thriller savingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation post-apocalyptic dystopia army firearm wartime losangeles ChristianBale SamWorthington AntonYelchin McG"
168259,furious 7,Action,JamesWan,VinDiesel,PaulWalker,DwayneJohnson,Deckard Shaw seek revenge against Dominic Toretto and his family for his comatose brother. Action carrace speed revenge suspense car race musclecar VinDiesel PaulWalker DwayneJohnson JamesWan
72190,world war z,"Action, Drama, Horror, ScienceFiction, Thriller",MarcForster,BradPitt,MireilleEnos,AbigailHargrove,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human population into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific danger and long odds to find answer before human civilization falls. Action Drama Horror ScienceFiction Thriller dystopia apocalypse zombie nuclearweapons multipleperspectives zombieapocalypse BradPitt MireilleEnos AbigailHargrove MarcForster"
127585,x-men: days of future past,"Action, Adventure, Fantasy, ScienceFiction",BryanSinger,HughJackman,JamesMcAvoy,MichaelFassbender,The ultimate X-Men ensemble fight a war for the survival of the specie across two time period a they join force with their younger self in an epic battle that must change the past – to save our future. Action Adventure Fantasy ScienceFiction 1970s mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfuture HughJackman JamesMcAvoy MichaelFassbender BryanSinger
54138,star trek into darkness,"Action, Adventure, ScienceFiction",J.J.Abrams,ChrisPine,ZacharyQuinto,ZoeSaldana,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization ha detonated the fleet and everything it stand for, leaving our world in a state of crisis. With a personal score to settle, Captain Kirk lead a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our hero are propelled into an epic chess game of life and death, love will be challenged, friendship will be torn apart, and sacrifice must be made for the only family Kirk ha left: his crew. Action Adventure ScienceFiction spacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3d ChrisPine ZacharyQuinto ZoeSaldana J.J.Abrams"
81005,jack the giant slayer,"Action, Family, Fantasy",BryanSinger,NicholasHoult,EleanorTomlinson,EwanMcGregor,"The story of an ancient war that is reignited when a young farmhand unwittingly open a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giant strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, it people, and the love of a brave princess, he come face to face with the unstoppable warrior he thought only existed in legend–and get the chance to become a legend himself. Action Family Fantasy basedonfairytale giant NicholasHoult EleanorTomlinson EwanMcGregor BryanSinger"
64682,the great gatsby,"Drama, Romance",BazLuhrmann,LeonardoDiCaprio,TobeyMaguire,CareyMulligan,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the crack of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await. Drama Romance basedonnovel infidelity obsession hope 3d LeonardoDiCaprio TobeyMaguire CareyMulligan BazLuhrmann"
9543,prince of persia: the sands of time,"Adventure, Fantasy, Action, Romance",MikeNewell,JakeGyllenhaal,GemmaArterton,BenKingsley,"A rogue prince reluctantly join force with a mysterious princess and together, they race against dark force to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the god that can reverse time and allow it possessor to rule the world. Adventure Fantasy Action Romance persia sandstorm brotheragainstbrother armageddon regent basedonvideogame JakeGyllenhaal GemmaArterton BenKingsley MikeNewell"
68726,pacific rim,"Action, ScienceFiction, Adventure",GuillermodelToro,IdrisElba,CharlieHunnam,CharlieDay,"When legion of monstrous creatures, known a Kaiju, started rising from the sea, a war began that would take million of life and consume humanity's resource for year on end. To combat the giant Kaiju, a special type of weapon wa devised: massive robots, called Jaegers, which are controlled simultaneously by two pilot whose mind are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the force defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand a mankind's last hope against the mounting apocalypse. Action ScienceFiction Adventure dystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3d IdrisElba CharlieHunnam CharlieDay GuillermodelToro"
